,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,830490.5,744354.5,12536,1318.5,0,260287,821852
1Weekｓ,1WEEKS,272530,168052,2569.5,493,0,29446.5,131709
2Weekｓ,2WEEKS,188679,198663,3792.5,47,0,83847,122210
3Weekｓ,3WEEKS,152239.5,180223.5,2291,41,0,46986,223019
4Weekｓ,4WEEKS,134868.5,167892,3472.5,717,0,74486.5,223363.5
5Weekｓ,5WEEKS,82173.5,29524,410.5,20.5,0,25521,121550.5
Monday,MON,157312,106901.5,1600.5,127.5,0,35935.5,130123
Tuesday,TUE,116624,149272,1152.5,0,0,47665,24736
Wednesday,WED,128734.5,111699,1943.5,140,0,50508,52575
Thursday,THU,147447,132714,2775,301.5,0,37134.5,25228
Friday,FRI,143503.5,140860,2886,192,0,35330.5,22828
Saturday,SAT,136869.5,102908,2178.5,557.5,0,53713.5,134362
Sunday,SUN,0,0,0,0,0,0,432000
0 TO 1 O'clock,HR_0TO1,29505.5,36163.5,1076,20,0,8830,36005
1 TO 2 O'clock,HR_1TO2,25357.5,31571,9.5,87,0,4809,49766
2 TO 3 O'clock,HR_2TO3,34178.5,18733,203,0,0,4485.5,54000
3 TO 4 O'clock,HR_3TO4,26454,24711,1239.5,0,0,5195.5,54000
4 TO 5 O'clock,HR_4TO5,27867,16072,55.5,0,0,13605.5,54000
5 TO 6 O'clock,HR_5TO6,29517.5,12007,42,0,0,12741,54000
6 TO 7 O'clock,HR_6TO7,23340.5,20891.5,14,0,0,10493,54003
7 TO 8 O'clock,HR_7TO8,30369,23285.5,231.5,152,0,7097,50465
8 TO 9 O'clock,HR_8TO9,28084,51249.5,489,391.5,0,9509,21877
9 TO 10 O'clock,HR_9TO10,34163,36371,970,0,0,12137,27306.5
10 TO 11 O'clock,HR_10TO11,32353,35024,2550.5,343.5,0,13477.5,27851.5
11 TO 12 O'clock,HR_11TO12,39956,35241,142.5,105.5,0,8204,27559
12 TO 13 O'clock,HR_12TO13,40711.5,31694.5,191.5,0,0,13432,25204
13 TO 14 O'clock,HR_13TO14,40288.5,36862.5,1021.5,0,0,8134.5,25293
14 TO 15 O'clock,HR_14TO15,40588,33883,1743.5,0,0,9970.5,25415
15 TO 16 O'clock,HR_15TO16,41583,28081,467.5,0,0,15929.5,25539
16 TO 17 O'clock,HR_16TO17,38056,36580,449.5,20.5,0,14142,22352
17 TO 18 O'clock,HR_17TO18,35694,39779.5,59,0,0,14467.5,21600
18 TO 19 O'clock,HR_18TO19,32552.5,44473,653,0,0,11882.5,22039
19 TO 20 O'clock,HR_19TO20,41585.5,31289.5,422.5,51,0,14309.5,23942
20 TO 21 O'clock,HR_20TO21,33592.5,43280.5,40,36,0,10613,24038
21 TO 22 O'clock,HR_21TO22,49681,31729,44,64.5,0,7405.5,22676
22 TO 23 O'clock,HR_22TO23,39548.5,21063,295,47,0,14550.5,36096
23 TO 24 O'clock,HR_23TO24,35464,24319,126,0,0,14866,36825
Aggregate 1 day,DAY_1,21669.5,39712,1404,469.5,0,6794,16351
Aggregate 2 day,DAY_2,0,0,0,0,0,0,86400
Aggregate 3 day,DAY_3,53517.5,7461,11,0,0,8.5,25402
Aggregate 4 day,DAY_4,48416.5,33565.5,299,0,0,4119,0
Aggregate 5 day,DAY_5,48464,28151.5,448.5,0,0,7125,2211
Aggregate 6 day,DAY_6,60009,22025,313.5,23.5,0,3082,947
Aggregate 7 day,DAY_7,40453.5,37137,93.5,0,0,8318,398
Aggregate 8 day,DAY_8,44812,22512.5,13.5,26.5,0,7068,10556.5
Aggregate 9 day,DAY_9,0,0,0,0,0,0,86400
Aggregate 10 day,DAY_10,19135.5,27018,1299,20.5,0,14014,24913
Aggregate 11 day,DAY_11,19170,39910,743.5,0,0,20423,3
Aggregate 12 day,DAY_12,33541,39944.5,535,0,0,12042,337.5
Aggregate 13 day,DAY_13,26781,36157,731,0,0,22731,0
Aggregate 14 day,DAY_14,45239.5,33121,470.5,0,0,7569,0
Aggregate 15 day,DAY_15,0,129.5,0,20.5,0,0,86250
Aggregate 16 day,DAY_16,0,0,0,0,0,0,86400
Aggregate 17 day,DAY_17,32445.5,20802.5,19.5,0,0,8878,24254.5
Aggregate 18 day,DAY_18,30147,51779,100.5,0,0,4373.5,0
Aggregate 19 day,DAY_19,31143,12004,94.5,20.5,0,17360.5,25777.5
Aggregate 20 day,DAY_20,40887.5,37745,372.5,0,0,7058,337
Aggregate 21 day,DAY_21,17616.5,57763.5,1704,0,0,9316,0
Aggregate 22 day,DAY_22,18739.5,33164,397.5,20.5,0,23223.5,10855
Aggregate 23 day,DAY_23,0,0,0,0,0,0,86400
Aggregate 24 day,DAY_24,21688.5,29486,224,107,0,4142,30752.5
Aggregate 25 day,DAY_25,18890.5,24017.5,9.5,0,0,18749.5,24733
Aggregate 26 day,DAY_26,15586.5,31599,865.5,119.5,0,13980.5,24249
Aggregate 27 day,DAY_27,19769.5,36787,1358,278,0,4263.5,23944
Aggregate 28 day,DAY_28,40194,12838.5,618,192,0,10127.5,22430
Aggregate 29 day,DAY_29,51648.5,7390,363.5,20.5,0,16628,10349.5
Aggregate 30 day,DAY_30,0,0,0,0,0,0,86400
Aggregate 31 day,DAY_31,30525,22134,47,0,0,8893,24801
