,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,299318.5,112524.5,220.5,142,0,6533.5,497207
1Weeks,1WEEKS,0,0,0,0,0,0,0
2Weeks,2WEEKS,0,0,0,0,0,0,0
3Weeks,3WEEKS,0,0,0,0,0,0,57236
4Weeks,4WEEKS,188122,65726,5,46.5,0,5404,340206.5
5Weeks,5WEEKS,111196.5,46798.5,215.5,95.5,0,1129.5,99764.5
Monday,MON,45327,15610,0,21,0,117,25325
Tuesday,TUE,50165.5,12915,1,0,0,1829.5,21489
Wednesday,WED,14720.5,3552.5,2,0,0,626.5,67495
Thursday,THU,53209,22644,2,0,0,2829,64918
Friday,FRI,49022,23567,19,75.5,0,92,100024.5
Saturday,SAT,69542,26437,15,45.5,0,1008,70500
Sunday,SUN,17332.5,7799,181.5,0,0,31.5,147455.5
0 TO 1 O'clock,HR_0TO1,15864.5,5320.5,0,46.5,0,0,18368.5
1 TO 2 O'clock,HR_1TO2,9435.5,5202.5,2,20,0,0,24940
2 TO 3 O'clock,HR_2TO3,4910.5,6208,0,0,0,0,28481.5
3 TO 4 O'clock,HR_3TO4,3600,7200,0,0,0,0,28800
4 TO 5 O'clock,HR_4TO5,3600,4565,0,0,0,0,31435
5 TO 6 O'clock,HR_5TO6,2579,4431,159.5,0,0,30.5,32400
6 TO 7 O'clock,HR_6TO7,224.5,5732.5,15,0,0,0,33628
7 TO 8 O'clock,HR_7TO8,1498.5,2286,5,0,0,1,35809.5
8 TO 9 O'clock,HR_8TO9,15452.5,3531.5,2,0,0,6,16974
9 TO 10 O'clock,HR_9TO10,15318.5,5071.5,2,0,0,1208,14400
10 TO 11 O'clock,HR_10TO11,15276,6322.5,1.5,0,0,0,14400
11 TO 12 O'clock,HR_11TO12,16561,4545.5,11.5,0,0,482,14400
12 TO 13 O'clock,HR_12TO13,10629,9021.5,0,0,0,1949.5,14400
13 TO 14 O'clock,HR_13TO14,13552.5,3585.5,0,0,0,1911,15454.5
14 TO 15 O'clock,HR_14TO15,13383,4112.5,6,75.5,0,423,14400
15 TO 16 O'clock,HR_15TO16,13655.5,7682,0,0,0,43.5,14469.5
16 TO 17 O'clock,HR_16TO17,16166.5,5409.5,0,0,0,0.5,17649.5
17 TO 18 O'clock,HR_17TO18,17453,4099.5,0,0,0,47.5,18000
18 TO 19 O'clock,HR_18TO19,17090,3958.5,0,0,0,0,18551.5
19 TO 20 O'clock,HR_19TO20,21300.5,271.5,0,0,0,28,18000
20 TO 21 O'clock,HR_20TO21,18922.5,2677.5,0,0,0,0,18000
21 TO 22 O'clock,HR_21TO22,20710,889.5,0,0,0,0.5,18000
22 TO 23 O'clock,HR_22TO23,18927,2409.5,0,0,0,18,18245.5
23 TO 24 O'clock,HR_23TO24,13208.5,7991,16,0,0,384.5,18000
Aggregate 1 day,DAY_1,0,0,0,0,0,0,0
Aggregate 2 day,DAY_2,0,0,0,0,0,0,0
Aggregate 3 day,DAY_3,0,0,0,0,0,0,0
Aggregate 4 day,DAY_4,0,0,0,0,0,0,0
Aggregate 5 day,DAY_5,0,0,0,0,0,0,0
Aggregate 6 day,DAY_6,0,0,0,0,0,0,0
Aggregate 7 day,DAY_7,0,0,0,0,0,0,0
Aggregate 8 day,DAY_8,0,0,0,0,0,0,0
Aggregate 9 day,DAY_9,0,0,0,0,0,0,0
Aggregate 10 day,DAY_10,0,0,0,0,0,0,0
Aggregate 11 day,DAY_11,0,0,0,0,0,0,0
Aggregate 12 day,DAY_12,0,0,0,0,0,0,0
Aggregate 13 day,DAY_13,0,0,0,0,0,0,0
Aggregate 14 day,DAY_14,0,0,0,0,0,0,0
Aggregate 15 day,DAY_15,0,0,0,0,0,0,0
Aggregate 16 day,DAY_16,0,0,0,0,0,0,0
Aggregate 17 day,DAY_17,0,0,0,0,0,0,0
Aggregate 18 day,DAY_18,0,0,0,0,0,0,0
Aggregate 19 day,DAY_19,0,0,0,0,0,0,0
Aggregate 20 day,DAY_20,0,0,0,0,0,0,0
Aggregate 21 day,DAY_21,0,0,0,0,0,0,57236
Aggregate 22 day,DAY_22,0,0,0,0,0,0,86400
Aggregate 23 day,DAY_23,24534.5,10998.5,0,25.5,0,2,45587
Aggregate 24 day,DAY_24,165.5,6,0,0,0,0,86228.5
Aggregate 25 day,DAY_25,45327,15610,0,21,0,117,25325
Aggregate 26 day,DAY_26,50165.5,12915,1,0,0,1829.5,21489
Aggregate 27 day,DAY_27,14720.5,3552.5,2,0,0,626.5,67495
Aggregate 28 day,DAY_28,53209,22644,2,0,0,2829,7682
Aggregate 29 day,DAY_29,49022,23567,19,75.5,0,92,13624.5
Aggregate 30 day,DAY_30,45007.5,15438.5,15,20,0,1006,24913
Aggregate 31 day,DAY_31,17167,7793,181.5,0,0,31.5,61227
