,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,157760,182584.5,1918,291,0,41203,532189.5
1Weeks,1WEEKS,0,0,0,0,0,0,0
2Weeks,2WEEKS,0,0,0,0,0,0,0
3Weeks,3WEEKS,0,0,0,0,0,0,57236
4Weeks,4WEEKS,93926,116153,491.5,120.5,0,25808.5,363010.5
5Weeks,5WEEKS,63834,66431.5,1426.5,170.5,0,15394.5,111943
Monday,MON,20128.5,34117.5,47,23,0,6980.5,25103.5
Tuesday,TUE,31463,23298.5,15,38.5,0,6660,24925
Wednesday,WED,3907,14643.5,9,0,0,443,67394
Thursday,THU,33398.5,17929.5,198.5,20.5,0,7200.5,84854.5
Friday,FRI,32144,24031.5,1324.5,150.5,0,3538,111611.5
Saturday,SAT,29205.5,54162.5,306,47,0,13057.5,70769
Sunday,SUN,7513.5,14401.5,18,11.5,0,3323.5,147532
0 TO 1 O'clock,HR_0TO1,11055,8534.5,27.5,44,0,1937,18002
1 TO 2 O'clock,HR_1TO2,2738,1725.5,2,213.5,0,32.5,34888.5
2 TO 3 O'clock,HR_2TO3,23,2982.5,14.5,0,0,580,36000
3 TO 4 O'clock,HR_3TO4,582.5,2942.5,0,0,0,75,36000
4 TO 5 O'clock,HR_4TO5,376.5,2764,0,0,0,459.5,36000
5 TO 6 O'clock,HR_5TO6,895.5,1820.5,1.5,0,0,882.5,36000
6 TO 7 O'clock,HR_6TO7,473.5,2889,0,0,0,237.5,36000
7 TO 8 O'clock,HR_7TO8,2424.5,408.5,0,11.5,0,1056.5,35699
8 TO 9 O'clock,HR_8TO9,9105.5,9834,6.5,22,0,14.5,16983.5
9 TO 10 O'clock,HR_9TO10,5738.5,14830,16.5,0,0,1015,14400
10 TO 11 O'clock,HR_10TO11,7745.5,11962.5,18,0,0,1874,14400
11 TO 12 O'clock,HR_11TO12,8415.5,11551.5,42.5,0,0,1590.5,14400
12 TO 13 O'clock,HR_12TO13,7282.5,13617,2.5,0,0,698,14400
13 TO 14 O'clock,HR_13TO14,10082,7240,192.5,0,0,1535,15454
14 TO 15 O'clock,HR_14TO15,10284,5207,6,0,0,2503,14400
15 TO 16 O'clock,HR_15TO16,6147,11315.5,20,0,0,3899,14469
16 TO 17 O'clock,HR_16TO17,10976,7859.5,12,0,0,2729,17649.5
17 TO 18 O'clock,HR_17TO18,10788.5,8284.5,17.5,0,0,2110,18399.5
18 TO 19 O'clock,HR_18TO19,10566,7442.5,11,0,0,3029,18551.5
19 TO 20 O'clock,HR_19TO20,7985,10877,53.5,0,0,2684.5,18000
20 TO 21 O'clock,HR_20TO21,7246,13067,1.5,0,0,1285.5,18000
21 TO 22 O'clock,HR_21TO22,5600.5,9770,1427,0,0,4802.5,18000
22 TO 23 O'clock,HR_22TO23,10985,6430,32,0,0,4060,18093
23 TO 24 O'clock,HR_23TO24,10244,9229.5,13.5,0,0,2113,18000
Aggregate 1 day,DAY_1,0,0,0,0,0,0,0
Aggregate 2 day,DAY_2,0,0,0,0,0,0,0
Aggregate 3 day,DAY_3,0,0,0,0,0,0,0
Aggregate 4 day,DAY_4,0,0,0,0,0,0,0
Aggregate 5 day,DAY_5,0,0,0,0,0,0,0
Aggregate 6 day,DAY_6,0,0,0,0,0,0,0
Aggregate 7 day,DAY_7,0,0,0,0,0,0,0
Aggregate 8 day,DAY_8,0,0,0,0,0,0,0
Aggregate 9 day,DAY_9,0,0,0,0,0,0,0
Aggregate 10 day,DAY_10,0,0,0,0,0,0,0
Aggregate 11 day,DAY_11,0,0,0,0,0,0,0
Aggregate 12 day,DAY_12,0,0,0,0,0,0,0
Aggregate 13 day,DAY_13,0,0,0,0,0,0,0
Aggregate 14 day,DAY_14,0,0,0,0,0,0,0
Aggregate 15 day,DAY_15,0,0,0,0,0,0,0
Aggregate 16 day,DAY_16,0,0,0,0,0,0,0
Aggregate 17 day,DAY_17,0,0,0,0,0,0,0
Aggregate 18 day,DAY_18,0,0,0,0,0,0,0
Aggregate 19 day,DAY_19,0,0,0,0,0,0,0
Aggregate 20 day,DAY_20,0,0,0,0,0,0,0
Aggregate 21 day,DAY_21,0,0,0,0,0,0,57236
Aggregate 22 day,DAY_22,0,0,0,0,0,0,86400
Aggregate 23 day,DAY_23,5029,26000.5,222,27,0,4524.5,45344.5
Aggregate 24 day,DAY_24,0,163.5,0,11.5,0,0,86225
Aggregate 25 day,DAY_25,20128.5,34117.5,47,23,0,6980.5,25103.5
Aggregate 26 day,DAY_26,31463,23298.5,15,38.5,0,6660,24925
Aggregate 27 day,DAY_27,3907,14643.5,9,0,0,443,67394
Aggregate 28 day,DAY_28,33398.5,17929.5,198.5,20.5,0,7200.5,27618.5
Aggregate 29 day,DAY_29,32144,24031.5,1324.5,150.5,0,3538,25211.5
Aggregate 30 day,DAY_30,24176.5,28162,84,20,0,8533,25424.5
Aggregate 31 day,DAY_31,7513.5,14238,18,0,0,3323.5,61307
