,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,115882,228521,1685,304.5,0,49330.5,520223
1Weeks,1WEEKS,0,0,0,0,0,0,0
2Weeks,2WEEKS,0,0,0,0,0,0,0
3Weeks,3WEEKS,0,0,0,0,0,0,57236
4Weeks,4WEEKS,44991,169968,1486,233.5,0,20171.5,362660
5Weeks,5WEEKS,70891,58553,199,71,0,29159,100327
Monday,MON,12851,45962.5,1160,45.5,0,1266,25115
Tuesday,TUE,5772,48138.5,137.5,68,0,7299,24985
Wednesday,WED,5022.5,7405.5,19,0,0,6555.5,67394
Thursday,THU,15110.5,39736,128.5,3.5,0,3764.5,84859
Friday,FRI,18621,35531,195,13.5,0,18345,100094.5
Saturday,SAT,42208,46402.5,45,45,0,8510,70337
Sunday,SUN,16297,5345,0,129,0,3590.5,147438.5
0 TO 1 O'clock,HR_0TO1,7740.5,12568.5,64,0,0,1227,18000
1 TO 2 O'clock,HR_1TO2,6955.5,1399,0,151,0,70,31024.5
2 TO 3 O'clock,HR_2TO3,4362,0,0,0,0,2838,32400
3 TO 4 O'clock,HR_3TO4,799,1698.5,0,0,0,4702.5,32400
4 TO 5 O'clock,HR_4TO5,1321.5,1461,0,0,0,1756,35061.5
5 TO 6 O'clock,HR_5TO6,3497,75.5,0,0,0,27.5,36000
6 TO 7 O'clock,HR_6TO7,1940,485.5,0,0,0,1174.5,36000
7 TO 8 O'clock,HR_7TO8,2070,1354,0,92,0,398.5,35685.5
8 TO 9 O'clock,HR_8TO9,6852,11612,137.5,13.5,0,409.5,16941.5
9 TO 10 O'clock,HR_9TO10,8726.5,11809,27,0,0,1037.5,14400
10 TO 11 O'clock,HR_10TO11,5048,14433.5,27.5,0,0,2091,14400
11 TO 12 O'clock,HR_11TO12,7379.5,9190,198.5,20.5,0,4718.5,14493
12 TO 13 O'clock,HR_12TO13,3597,11834.5,39.5,0,0,6129,14400
13 TO 14 O'clock,HR_13TO14,3809,12323.5,14.5,0,0,2902.5,15454
14 TO 15 O'clock,HR_14TO15,4696,11625,1.5,0,0,1677.5,14400
15 TO 16 O'clock,HR_15TO16,5601,13026,66.5,0,0,2688,14469
16 TO 17 O'clock,HR_16TO17,4951.5,13715,683,0,0,2226.5,17650
17 TO 18 O'clock,HR_17TO18,9402,9749.5,295.5,20.5,0,1733,18399.5
18 TO 19 O'clock,HR_18TO19,5483,13867.5,10.5,3.5,0,1684,18551.5
19 TO 20 O'clock,HR_19TO20,3554.5,16450,7,0,0,1588.5,18000
20 TO 21 O'clock,HR_20TO21,1074,17071,45.5,0,0,3409.5,18000
21 TO 22 O'clock,HR_21TO22,3850,16285,4,0,0,1461,18000
22 TO 23 O'clock,HR_22TO23,7358,12882,38,3.5,0,1225.5,18093
23 TO 24 O'clock,HR_23TO24,5814.5,13605.5,25,0,0,2155,18000
Aggregate 1 day,DAY_1,0,0,0,0,0,0,0
Aggregate 2 day,DAY_2,0,0,0,0,0,0,0
Aggregate 3 day,DAY_3,0,0,0,0,0,0,0
Aggregate 4 day,DAY_4,0,0,0,0,0,0,0
Aggregate 5 day,DAY_5,0,0,0,0,0,0,0
Aggregate 6 day,DAY_6,0,0,0,0,0,0,0
Aggregate 7 day,DAY_7,0,0,0,0,0,0,0
Aggregate 8 day,DAY_8,0,0,0,0,0,0,0
Aggregate 9 day,DAY_9,0,0,0,0,0,0,0
Aggregate 10 day,DAY_10,0,0,0,0,0,0,0
Aggregate 11 day,DAY_11,0,0,0,0,0,0,0
Aggregate 12 day,DAY_12,0,0,0,0,0,0,0
Aggregate 13 day,DAY_13,0,0,0,0,0,0,0
Aggregate 14 day,DAY_14,0,0,0,0,0,0,0
Aggregate 15 day,DAY_15,0,0,0,0,0,0,0
Aggregate 16 day,DAY_16,0,0,0,0,0,0,0
Aggregate 17 day,DAY_17,0,0,0,0,0,0,0
Aggregate 18 day,DAY_18,0,0,0,0,0,0,0
Aggregate 19 day,DAY_19,0,0,0,0,0,0,0
Aggregate 20 day,DAY_20,0,0,0,0,0,0,0
Aggregate 21 day,DAY_21,0,0,0,0,0,0,57236
Aggregate 22 day,DAY_22,0,0,0,0,0,0,86400
Aggregate 23 day,DAY_23,6235,28598.5,41,24.5,0,1286.5,44962
Aggregate 24 day,DAY_24,0,127,0,92,0,0,86181
Aggregate 25 day,DAY_25,12851,45962.5,1160,45.5,0,1266,25115
Aggregate 26 day,DAY_26,5772,48138.5,137.5,68,0,7299,24985
Aggregate 27 day,DAY_27,5022.5,7405.5,19,0,0,6555.5,67394
Aggregate 28 day,DAY_28,15110.5,39736,128.5,3.5,0,3764.5,27623
Aggregate 29 day,DAY_29,18621,35531,195,13.5,0,18345,13694.5
Aggregate 30 day,DAY_30,35973,17804,4,20.5,0,7223.5,25375
Aggregate 31 day,DAY_31,16297,5218,0,37,0,3590.5,61257.5
