,,OPERATE Time,STOP Time,ALARM Time,EMERGENCY Time,MANUAL Time,SUSPEND Time,DISCONNECT Time
,Prefix / Suffix,OPERATE.statustime,STOP.statustime,ALARM.statustime,EMERGENCY.statustime,MANUAL.statustime,SUSPEND.statustime,DISCONNECT.statustime
Past 1 month,MONTH,213974.5,142586.5,2380,3287.5,0,52705.5,501012
1Weeks,1WEEKS,0,0,0,0,0,0,0
2Weeks,2WEEKS,0,0,0,0,0,0,0
3Weeks,3WEEKS,0,0,0,0,0,0,57236
4Weeks,4WEEKS,137450,93589,1750.5,3198,0,29903.5,333619
5Weeks,5WEEKS,76524.5,48997.5,629.5,89.5,0,22802,110157
Monday,MON,47983,23884,5.5,532,0,13750.5,245
Tuesday,TUE,23828.5,31633.5,78.5,2459,0,7689.5,20711
Wednesday,WED,5448.5,12965,153.5,0,0,435.5,67394
Thursday,THU,32709,19028.5,297.5,38,0,6742.5,84786.5
Friday,FRI,47012,11527.5,55.5,22.5,0,3199.5,110983
Saturday,SAT,47379,31975,1720,45,0,15818.5,70610
Sunday,SUN,9614.5,11573,69.5,191,0,5069.5,146282.5
0 TO 1 O'clock,HR_0TO1,14729.5,2876,1203,64,0,3553.5,17174
1 TO 2 O'clock,HR_1TO2,4249.5,7071,12.5,84.5,0,99,28083.5
2 TO 3 O'clock,HR_2TO3,3302,3970.5,0,44.5,0,387,31896
3 TO 4 O'clock,HR_3TO4,2076,3065.5,0,0,0,2058.5,32400
4 TO 5 O'clock,HR_4TO5,1280,4306,17,0,0,1597,32400
5 TO 6 O'clock,HR_5TO6,580,4296,0,0,0,2324,32400
6 TO 7 O'clock,HR_6TO7,1026.5,2519.5,52.5,0,0,3601.5,32400
7 TO 8 O'clock,HR_7TO8,3378,754.5,0,145,0,4257,31065.5
8 TO 9 O'clock,HR_8TO9,10520.5,7658.5,451.5,0,0,878.5,16457
9 TO 10 O'clock,HR_9TO10,6243.5,14398.5,0,0,0,958,14400
10 TO 11 O'clock,HR_10TO11,10763.5,7571,270.5,0,0,2995,14400
11 TO 12 O'clock,HR_11TO12,10719.5,8307,180.5,0,0,2393,14400
12 TO 13 O'clock,HR_12TO13,2536.5,15129,5.5,0,0,3929,14400
13 TO 14 O'clock,HR_13TO14,8813,4549,0,0,0,5690.5,15451
14 TO 15 O'clock,HR_14TO15,10853.5,4248,3,0,0,2895.5,14400
15 TO 16 O'clock,HR_15TO16,13252.5,5542.5,20,1543,0,1023,14469.5
16 TO 17 O'clock,HR_16TO17,8458,11701,20.5,874.5,0,522.5,17649.5
17 TO 18 O'clock,HR_17TO18,12684.5,5992.5,58.5,35.5,0,2369,18460
18 TO 19 O'clock,HR_18TO19,10320.5,6182,53.5,0,0,4492,18552
19 TO 20 O'clock,HR_19TO20,14427,4365.5,3,496.5,0,2308,18000
20 TO 21 O'clock,HR_20TO21,14526.5,6347,0,0,0,726.5,18000
21 TO 22 O'clock,HR_21TO22,19614.5,1490,0,0,0,495.5,18000
22 TO 23 O'clock,HR_22TO23,14029.5,6197,26.5,0,0,1193,18154
23 TO 24 O'clock,HR_23TO24,15590,4049,2,0,0,1959,18000
Aggregate 1 day,DAY_1,0,0,0,0,0,0,0
Aggregate 2 day,DAY_2,0,0,0,0,0,0,0
Aggregate 3 day,DAY_3,0,0,0,0,0,0,0
Aggregate 4 day,DAY_4,0,0,0,0,0,0,0
Aggregate 5 day,DAY_5,0,0,0,0,0,0,0
Aggregate 6 day,DAY_6,0,0,0,0,0,0,0
Aggregate 7 day,DAY_7,0,0,0,0,0,0,0
Aggregate 8 day,DAY_8,0,0,0,0,0,0,0
Aggregate 9 day,DAY_9,0,0,0,0,0,0,0
Aggregate 10 day,DAY_10,0,0,0,0,0,0,0
Aggregate 11 day,DAY_11,0,0,0,0,0,0,0
Aggregate 12 day,DAY_12,0,0,0,0,0,0,0
Aggregate 13 day,DAY_13,0,0,0,0,0,0,0
Aggregate 14 day,DAY_14,0,0,0,0,0,0,0
Aggregate 15 day,DAY_15,0,0,0,0,0,0,0
Aggregate 16 day,DAY_16,0,0,0,0,0,0,0
Aggregate 17 day,DAY_17,0,0,0,0,0,0,0
Aggregate 18 day,DAY_18,0,0,0,0,0,0,0
Aggregate 19 day,DAY_19,0,0,0,0,0,0,0
Aggregate 20 day,DAY_20,0,0,0,0,0,0,0
Aggregate 21 day,DAY_21,0,0,0,0,0,0,57236
Aggregate 22 day,DAY_22,0,0,0,0,0,0,86400
Aggregate 23 day,DAY_23,27390,5929,1215.5,24,0,1285.5,45303.5
Aggregate 24 day,DAY_24,91,149,0,145,0,0,86015
Aggregate 25 day,DAY_25,47983,23884,5.5,532,0,13750.5,245
Aggregate 26 day,DAY_26,23828.5,31633.5,78.5,2459,0,7689.5,20711
Aggregate 27 day,DAY_27,5448.5,12965,153.5,0,0,435.5,67394
Aggregate 28 day,DAY_28,32709,19028.5,297.5,38,0,6742.5,27550.5
Aggregate 29 day,DAY_29,47012,11527.5,55.5,22.5,0,3199.5,24583
Aggregate 30 day,DAY_30,19989,26046,504.5,21,0,14533,25306.5
Aggregate 31 day,DAY_31,9523.5,11424,69.5,46,0,5069.5,60267.5
